cluster#,gene numbers,gene symbols
1,62,Sncaip Alpl Alox12 B4galnt1 Glul Syt15 Tpgs2 Fam198b Antxr1 Mecom.2 Eml1 Gm609 Rnf144a Stom Prdx4 Aig1 1810011O10Rik Arhgef25 Stc1 Plat Peak1 Tec Efnb2 Fbxo7 Unc5b Tpst1 Hey1 Cpm Hrct1 Unc119b Hbegf Tbxa2r Spry4 Scube2 Plcb1 Hlx Arl15 Tsc22d1 Filip1 A430090L17Rik Plk2 Syne1.1 Slc36a1 Syne1.2 Sez6 Rad54b Gcnt2 Clec1a Tgfb2 Slc12a5 Notch4 Slc48a1 Oas1a Farsb Cdkn1c Eif2b3 Sema3g Amz1 Sh2b3 Adamts1 Irf7 Gprc5b
2,169,Egr1 Mgst1 St8sia2 Entpd1 Zbp1 Cables2 Cthrc1 Msx1 St8sia6 Cbr3 Irf6 B230206H07Rik Lcat Olfml2a Slc27a3 Col18a1 Fchsd2 Prkcd Ifitm3 Mmrn2 Gata2 Fos Marcks Edn1 Kdm6b Eps8l2 P2ry2 Pfkfb3 Snx10 Ssfa2 Crispld1 Prr13 Atl2 Galk1 Kazald1 Dsp Sncg Rasd1 Nebl Gadd45b Lama3 Bmx Tnfsf13 Gkn3 Tmem100 Ssbp2 Hmgn3 Slc26a10 Pradc1 Ppap2a Fam181b Gpr160 Cp Ppp1r15a Prkcdbp Gulp1 Plcg2 Coro2a Prss23 Stmn1 Crip1 Epb4.1l4a Vegfc Ehd2 Trpv4 Tspo Lima1 Dhh Pdlim2 Ace Npnt Fstl1 Eln Ldb2 Lrrc32 Gadd45g Ldhb Nr4a2 Rcn3 Junb Sat1 Apol9b Myzap Prune2 Fbn1 Dusp26 Mgp Itgb4 Serpinf1 Nos1 Gja5 Fbln5 Gcnt1 Clu Jag1 Mylk Azin1 Arhgap5 Gm14207 Plscr2 Pik3r3 Gja4 Tspan2 Cd24a Fermt3 Pthlh Cdh13 Procr Ltbp4 Btg2 Apold1 Nsg2 Sgce Tm4sf1 Fez1 Zfp771 Rhpn2 Fbln2 Col14a1 Papss2 Mir8112 Atp11a Slc45a4 Atp2a3 8430408G22Rik Jag2 Syt11 Timp3 Tppp3 Nuak1 Oas2 Gper1 Zeb2 Prps2 Nr4a1 Atp13a3 Cyr61 Kank4 Frmd6 Lypd1 Atp2b4 Igfbp3 Slc16a11 Manr C1qtnf9 Ccdc67 Ccnd2 Tmem206 Egfl8 Plscr1 Itpr3 Me1 BC064078 Cdk19 Bhlhe41 Stmn2 Edn3 Cit Sfxn3 Cdc42ep5 Cxxc5 Aif1l Lmo7 Scd1 Tnfrsf26 Gad1 Fhl1 Sept11 Igfbp4
3,73,Fendrr Dixdc1 Nr2f2 Lbp Adk Ltc4s Tspan9 Tcea3 Ndufa8 Lrrc8b Chn2 Prcp Icam1 Il1r1 Cxcl11 Tbc1d2b Nckap5 B130024G19Rik Gm7694 Bst1 Sdk1 Lcn2 Fmo1 Ctsc Gpr182 Gpr126 Gm5127 Cysltr1 Hspb8 Prpf40b Rp1 Mxra8 Prdm5 Itga3 Hs3st1 Anxa2 Golm1 Homer3 4930594C11Rik Atp1b1 Nampt Prrt4 Sytl2 Gjc1 Fam101b Actn1 Klk8 Ddah1 Smagp Ramp3 Neurl2 Dnah6 AW112010 Flrt2 Hif1a Ier3 Nsg1 F5 Net1 Gdap10 Rnase4 Pomc Apod Sema6a Cadm1 Sox9 4930578C19Rik Phlda1 Rbp1 Fam57a Cd38 Fn1 Slc16a12
4,54,Tmem176b Tgtp1 H2−Q5 H2−Q8 Id2 Ptn Gngt2 Tpd52l1 Frem2 Hyal2 Gm684 Ifi27l2a Tln2 Slc6a6 Car7 Vcam1 Klf4 Rfk P2ry1 Ccdc109b S100a10 Ehd1 Plec S100a11 Pla2g4a Cd9 Gm12250 Pdgfa Ntn1 Thbd C530008M17Rik Aldh1a3 Kcnb1 Tnfrsf11a Klf10 Carhsp1 Aldh1a1 Wnt5a Icosl Cfb Myof Adh1 Epha4 Pvrl2 Tgm2 Slfn2 Vwf Adcy4 Tmem252 Tbx1 Cfh Csf1 Ptgis Rapgef5
5,37,Dll4 Rasgrp3 Akr1c14 Slc25a33 Smarca2 Ets2 Rcan2 Sema6d Gja1 Enpp2 Angpt2 Col4a3 Prdm1 Cdc42ep3 Hdac9 Pde4b Arhgap18 Bcl2 Htra3 Gpr85 Cyp2d22 Itga4 Trak2 Nrp1 Camk2n1 Nid2 Lrrn3 Plekhh2 Rgcc Stra6 Rgl1 Pcx Slc1a1 Osgin1 Klhl6 Cxcl12 Spry1
6,105,2810025M15Rik Nrp2 Frmd5 Tmem98 Pnkd Atp8a1 Tmem37 Stx3 Pak1 Pitpnm2 Car14 Jak3 Tspan17 Serpinb9 Unc13c Fcgrt Pglyrp1 Kcp Slc40a1 Slc38a3 Ctla2b Tmtc2 Irf5 Nos2 Rell1 Hcn2 Coro2b Baiap2 Rab4a Pfkl Trib2 Prr5l Tmsb10 Ndnf Car4 Slc38a5 Fmo2 Cebpd St6gal1 AU021092 Pcdh19 Igsf5 Odc1 Fam13a Tbx4 Ankrd37 Pmaip1 Grb7 Ivns1abp Cdkn2b Gpr155 Mfsd2a Ddc Slc3a2 Slco2b1 Slc22a8 Nkd1 Slc39a8 Slc16a9 Nostrin Slc7a1 Adamtsl2 Acsl1 Proser2 Ncaph Slc7a5 Hmcn1 Slc25a42 Apcdd1 Bok Alad Gatm Ttyh2 Ctla2a Tfrc Adm Slc16a6 Fhl3 Gpx3 Ackr3 Wdfy1 Meox1 Chst2 Pcdh12 Nid1 Tspan15 Kdr Dusp6 Ctgf Megf6 Tiam1 Cpe Myo1b Aldh4a1 Chst15 Csrp2 Slc16a1 Tbc1d14 Paqr7 Sept4 Smox Cnot6l Cacna1e Abcg1 Fam43a
